id;q1_emotion;q2_frequency;q3_effort_tradeoff;q4_perceived_impact;q5_civic_duty;q6_emotional_reward;q7_trust;q8_social_influence;q9_information_load;q10_disillusionment;q11_online_voting;q12_competitiveness;q13_incentive;q14_open_response;created_at;age_range;location
a2d7b716-db44-4051-a3b1-5e9a87cff642;Curiosity;Always;Definitely yes;Not really;Agree;Proud and satisfied;Very confident;Agree;Agree;Strongly disagree;Definitely yes;Definitely yes;None of these would make a difference;Properly...I will vote...Because of Indian..;2025-11-02 13:29:31.271962+00;55-64;Southeast
be3f7c32-c082-486e-a748-13609d8c2c40;Curiosity;Always;Definitely yes;Yes, definitely;Agree;Relieved or calm;Somewhat confident;Neutral;Agree;Agree;Not sure;Definitely yes;Nothing — I'd vote anyway;;2025-11-02 13:30:04.231815+00;45-54;Southwest
153d88ba-4bd5-4be5-9a50-2106433556e3;Curiosity;Always;Definitely yes;Yes, definitely;Agree;Proud and satisfied;Very confident;Disagree;Agree;Agree;Definitely yes;Definitely yes;None of these would make a difference;Yes;2025-11-02 13:38:43.572689+00;45-54;Southeast
3c515cb7-c1a4-4279-b6eb-4a88e058d33a;Indifference;Always;Definitely yes;Yes, definitely;Agree;Neutral;Very confident;Neutral;Disagree;Agree;Probably yes;Definitely yes;Nothing — I'd vote anyway;;2025-11-02 14:00:24.931073+00;45-54;Southeast
7f471c52-377a-48e2-9c5b-7a49eec82037;;Often;Definitely yes;Yes, definitely;;Proud and satisfied;;Strongly agree;Strongly agree;;Definitely yes;Definitely yes;;;2025-11-02 14:17:27.136555+00;45-54;Southeast
bc8cdfb8-1dbf-4933-b7e7-5cf654c4b2a1;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Strongly agree;Agree;Disagree;Definitely yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;Candidates clearly explained their plans and showed real commitment to improve education health and employment..;2025-11-02 14:25:47.706178+00;55-64;Southeast
76eded4a-92d5-4506-9f69-30b5a4cfbd0d;Indifference;Often;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Strongly agree;;Strongly agree;Definitely yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);In education system ;2025-11-02 14:56:11.687312+00;35-44;Southwest
4e1aafb5-a3c3-4b65-b1ce-09bb0f57b1fc;Curiosity;Often;Definitely yes;Yes, definitely;Agree;Proud and satisfied;Somewhat confident;Neutral;Strongly agree;Agree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;Online voting to be introduced ;2025-11-02 15:03:55.83091+00;55-64;Southeast
0d797431-93f4-4f24-8eaf-d17b70e8b3ba;Curiosity;Sometimes;Definitely yes;Maybe somewhat;Agree;Proud and satisfied;Somewhat confident;Strongly agree;Strongly agree;Agree;Probably yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);;2025-11-02 15:05:11.130363+00;35-44;Southwest
1d0210c1-8673-42f4-a9a0-3c1d59fdce52;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Agree;Agree;Disagree;Definitely yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;leaders were more honest and transparent, and if we saw real action instead of just promises.;2025-11-02 15:15:00.373552+00;35-44;Southeast
e1294de6-5504-47dd-a8e5-b4298b226184;Curiosity;Always;Definitely not;Not really;Strongly agree;Proud and satisfied;Very confident;Neutral;Strongly disagree;Strongly agree;Definitely yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);I agree with online voting process;2025-11-02 15:18:17.377129+00;35-44;Southeast
c590db34-0d27-470e-95ed-b73af7d7430e;Curiosity;Sometimes;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Strongly agree;Neutral;Agree;Definitely yes;Probably yes;Nothing — I'd vote anyway;Avoid vuchitha pathakaalu, job chesevallaku reservation thiseyyali;2025-11-02 15:49:01.109175+00;45-54;Southwest
77d27e75-f268-45f8-8e42-5bca592ade5d;Indifference;Always;Definitely yes;Yes, definitely;Neutral;Like it didn't matter;Somewhat doubtful;Agree;Strongly agree;Strongly agree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;;2025-11-02 17:34:25.250529+00;25-34;Southeast
bf921ea0-440c-436a-94b9-d68e5a74e922;Frustration;Always;Probably yes;Yes, definitely;Agree;Proud and satisfied;Somewhat doubtful;Strongly agree;Strongly disagree;Agree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;"Voting is responsible for citizens 
";2025-11-03 02:07:33.377014+00;45-54;Southeast
8e624d9c-0f2b-4844-9450-a55800c35f42;Indifference;;Not sure;Maybe somewhat;Disagree;Neutral;Unsure;Neutral;;;Definitely yes;Definitely yes;None of these would make a difference;Knowing it’s actually valued;2025-11-03 04:40:24.050074+00;25-34;West
1b8dd875-6544-4e6a-bd79-8077e4f3c129;Curiosity;Always;Definitely yes;Yes, definitely;;Proud and satisfied;Very confident;Agree;Disagree;Strongly disagree;Probably yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;More awareness and strict rules so that youth will vote more n more;2025-11-03 07:25:32.095003+00;25-34;West
55988b46-3db3-4619-b7d4-af6fdde9113b;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Strongly agree;Strongly disagree;Strongly disagree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;Being a responsible citizen of Bharat I think all must vote in every election.;2025-11-03 08:20:04.329817+00;45-54;Other/International
8291f69d-ab18-419d-bb6b-f650e81c4408;Curiosity;Often;Probably yes;Yes, definitely;Agree;Proud and satisfied;Somewhat doubtful;Agree;Disagree;Disagree;Definitely yes;Probably yes;Nothing — I'd vote anyway;;2025-11-03 08:33:33.039872+00;35-44;Northeast
0ac64300-1108-4406-acb8-32a4ca419338;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Somewhat confident;Strongly agree;Strongly disagree;Disagree;Definitely yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;Awareness to the political matters.;2025-11-03 09:27:46.058467+00;55-64;West
bfe15f8c-1ab1-4e87-b166-bf1f3d05bacd;Excitement;Always;Definitely yes;Maybe somewhat;Strongly agree;Relieved or calm;Somewhat confident;Agree;Disagree;Disagree;Definitely yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;I would appreciate it if the voting booth were closer to my house. Multiple booths would reduce crowding and long ques, this would also motivate me to vote.;2025-11-03 09:28:09.819575+00;35-44;Midwest
0e804ee3-7737-4215-83d4-ac89c6a48dfd;Curiosity;Always;Definitely yes;;Strongly agree;Proud and satisfied;Very confident;Agree;Strongly disagree;Disagree;Definitely yes;Definitely yes;None of these would make a difference;Online voting;2025-11-03 13:37:58.006205+00;45-54;West
daac3631-62fb-4ed1-8f6d-8e8f9e11363f;Excitement;Always;Not sure;Maybe somewhat;Strongly agree;Proud and satisfied;Very confident;Neutral;Disagree;Disagree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;If it is online.;2025-11-03 13:41:23.333929+00;55-64;West
ef126def-d8d0-4c10-bac7-18ed25bb5372;Distrust;Often;Definitely yes;Yes, definitely;Agree;Regretful or skeptical;Somewhat doubtful;Strongly disagree;Strongly disagree;Strongly agree;Definitely yes;Definitely yes;;"Everyone caste their votes
";2025-11-03 13:50:32.239245+00;35-44;Southeast
5292b04b-08c5-4bf4-8ddd-35820cd6e1ec;Indifference;Rarely;Not sure;Not really;Neutral;Neutral;Unsure;Agree;Strongly agree;Agree;Definitely yes;Probably yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);better politicians;2025-11-05 17:03:01.271543+00;18-24;Southeast
0542a165-d706-4978-87c3-6e46f2f91561;Indifference;Always;Probably yes;Yes, definitely;Strongly agree;Neutral;Somewhat confident;Neutral;Agree;Disagree;Not sure;Definitely yes;None of these would make a difference;A dashboard to summarize the history of promises and how many among them were kept by a candidate;2025-11-06 09:20:58.093448+00;25-34;Southeast
